"Entity","Code","Year","Gini"
"Argentina","ARG",1961,38.76
"Argentina","ARG",1972,32.66
"Argentina","ARG",1974,32.66
"Argentina","ARG",1980,38.13
"Argentina","ARG",1986,41.08
"Argentina","ARG",1987,43.71
"Argentina","ARG",1988,44.32
"Argentina","ARG",1991,44.83
"Argentina","ARG",1992,43
"Argentina","ARG",1993,42.4
"Argentina","ARG",1994,43.2
"Argentina","ARG",1995,46.11
"Argentina","ARG",1996,46.41
"Argentina","ARG",1997,46.21
"Argentina","ARG",1998,48.11
"Argentina","ARG",1999,47.11
"Argentina","ARG",2000,48.52
"Argentina","ARG",2001,50.43
"Argentina","ARG",2002,51.54
"Argentina","ARG",2003,50.93
"Argentina","ARG",2004,47.95
"Argentina","ARG",2005,46.85
"Argentina","ARG",2006,45.75
"Argentina","ARG",2007,44.65
"Argentina","ARG",2008,43.7
"Argentina","ARG",2009,43.15
"Argentina","ARG",2010,41.95
"Argentina","ARG",2011,40.9
"Argentina","ARG",2012,39.95
"Argentina","ARG",2013,39.45
"Argentina","ARG",2014,39.45
"Australia","AUS",1981,27.01
"Australia","AUS",1985,28.06
"Australia","AUS",1989,29.22
"Australia","AUS",1994,30.2
"Australia","AUS",1995,29.6
"Australia","AUS",1996,29.2
"Australia","AUS",1997,30.3
"Australia","AUS",1999,31
"Australia","AUS",2000,31.1
"Australia","AUS",2002,30.9
"Australia","AUS",2003,30.6
"Australia","AUS",2005,31.4
"Australia","AUS",2007,32.6
"Australia","AUS",2009,31.9
"Australia","AUS",2011,31
"Australia","AUS",2013,32.3
"Brazil","BRA",1981,54.72
"Brazil","BRA",1982,55.32
"Brazil","BRA",1983,55.92
"Brazil","BRA",1984,55.42
"Brazil","BRA",1985,52.63
"Brazil","BRA",1986,55.72
"Brazil","BRA",1987,56.81
"Brazil","BRA",1988,58.8
"Brazil","BRA",1989,60.69
"Brazil","BRA",1990,58.21
"Brazil","BRA",1993,58.21
"Brazil","BRA",1995,57.41
"Brazil","BRA",1996,57.71
"Brazil","BRA",1997,57.71
"Brazil","BRA",1998,57.41
"Brazil","BRA",1999,56.8
"Brazil","BRA",2001,57
"Brazil","BRA",2002,56.5
"Brazil","BRA",2003,55.7
"Brazil","BRA",2004,54.6
"Brazil","BRA",2005,54.4
"Brazil","BRA",2006,53.7
"Brazil","BRA",2007,52.8
"Brazil","BRA",2008,52
"Brazil","BRA",2009,51.8
"Brazil","BRA",2011,50.7
"Brazil","BRA",2012,50.2
"Brazil","BRA",2013,50.5
"Brazil","BRA",2014,49.5
"Canada","CAN",1976,30
"Canada","CAN",1977,28.6
"Canada","CAN",1978,29.1
"Canada","CAN",1979,28.6
"Canada","CAN",1980,28.6
"Canada","CAN",1981,28.5
"Canada","CAN",1982,28.8
"Canada","CAN",1983,29.6
"Canada","CAN",1984,29.3
"Canada","CAN",1985,29
"Canada","CAN",1986,29
"Canada","CAN",1987,28.7
"Canada","CAN",1988,28.2
"Canada","CAN",1989,28.1
"Canada","CAN",1990,28.6
"Canada","CAN",1991,29.2
"Canada","CAN",1992,29.1
"Canada","CAN",1993,28.9
"Canada","CAN",1994,29
"Canada","CAN",1995,29.3
"Canada","CAN",1996,30.1
"Canada","CAN",1997,30.4
"Canada","CAN",1998,31.1
"Canada","CAN",1999,31
"Canada","CAN",2000,31.7
"Canada","CAN",2001,31.8
"Canada","CAN",2002,31.8
"Canada","CAN",2003,31.6
"Canada","CAN",2004,32.2
"Canada","CAN",2005,31.7
"Canada","CAN",2006,31.8
"Canada","CAN",2007,31.5
"Canada","CAN",2008,31.8
"Canada","CAN",2009,31.6
"Canada","CAN",2010,31.5
"Canada","CAN",2011,31.2
"Canada","CAN",2012,31.8
"Canada","CAN",2013,31.9
"Finland","FIN",1966,31.1
"Finland","FIN",1971,27
"Finland","FIN",1976,21.5
"Finland","FIN",1981,20.9
"Finland","FIN",1987,20.2
"Finland","FIN",1988,20.7
"Finland","FIN",1989,21
"Finland","FIN",1990,20.8
"Finland","FIN",1991,20.7
"Finland","FIN",1992,20.5
"Finland","FIN",1993,20.9
"Finland","FIN",1994,20.8
"Finland","FIN",1995,21.4
"Finland","FIN",1996,21.9
"Finland","FIN",1997,23
"Finland","FIN",1998,23.8
"Finland","FIN",1999,24.5
"Finland","FIN",2000,24.9
"Finland","FIN",2001,25.7
"Finland","FIN",2002,25.2
"Finland","FIN",2003,25.6
"Finland","FIN",2004,26.1
"Finland","FIN",2005,25.9
"Finland","FIN",2006,26.2
"Finland","FIN",2007,26.4
"Finland","FIN",2008,26
"Finland","FIN",2009,25.5
"Finland","FIN",2010,25.9
"Finland","FIN",2011,25.9
"Finland","FIN",2012,25.5
"Finland","FIN",2013,25.6
"Finland","FIN",2014,25.2
"France","FRA",1962,39.89
"France","FRA",1965,38.26
"France","FRA",1970,35.82
"France","FRA",1975,34.74
"France","FRA",1979,32.56
"France","FRA",1984,31.48
"France","FRA",1990,30.39
"France","FRA",1996,29.42
"France","FRA",1997,29.31
"France","FRA",1998,29.09
"France","FRA",1999,29.2
"France","FRA",2000,29.53
"France","FRA",2001,29.53
"France","FRA",2002,28.98
"France","FRA",2003,28.98
"France","FRA",2004,28.87
"France","FRA",2005,28.98
"France","FRA",2006,29.49
"France","FRA",2007,29.29
"France","FRA",2008,29.29
"France","FRA",2009,29.39
"France","FRA",2010,30.3
"France","FRA",2011,30.6
"France","FRA",2012,30.3
"France","FRA",2013,28.9
"Germany","DEU",1962,29.2
"Germany","DEU",1969,25.8
"Germany","DEU",1973,24.81
"Germany","DEU",1978,24.73
"Germany","DEU",1983,24.7
"Germany","DEU",1984,25.2
"Germany","DEU",1985,24
"Germany","DEU",1986,23.9
"Germany","DEU",1987,23.6
"Germany","DEU",1988,24.2
"Germany","DEU",1989,24.5
"Germany","DEU",1990,24.8
"Germany","DEU",1991,24.8
"Germany","DEU",1992,25.2
"Germany","DEU",1993,25.3
"Germany","DEU",1994,26
"Germany","DEU",1995,25.5
"Germany","DEU",1996,25
"Germany","DEU",1997,25
"Germany","DEU",1998,25
"Germany","DEU",1999,24.9
"Germany","DEU",2000,25.5
"Germany","DEU",2001,25.7
"Germany","DEU",2002,26.8
"Germany","DEU",2003,26.9
"Germany","DEU",2004,27.4
"Germany","DEU",2005,28.8
"Germany","DEU",2006,28.5
"Germany","DEU",2007,28.6
"Germany","DEU",2008,28.3
"Germany","DEU",2009,28.3
"Germany","DEU",2010,28
"Germany","DEU",2011,28.6
"Germany","DEU",2012,28.8
"Iceland","ISL",2003,24.1
"Iceland","ISL",2004,25.1
"Iceland","ISL",2005,26.3
"Iceland","ISL",2006,28
"Iceland","ISL",2007,27.3
"Iceland","ISL",2008,29.6
"Iceland","ISL",2009,25.7
"Iceland","ISL",2010,23.6
"Iceland","ISL",2011,24
"Iceland","ISL",2012,24
"Iceland","ISL",2013,22.7
"India","IND",2004,47.2
"India","IND",2011,47.9
"Indonesia","IDN",1964,35
"Indonesia","IDN",1969,35
"Indonesia","IDN",1976,34
"Indonesia","IDN",1978,38
"Indonesia","IDN",1980,34
"Indonesia","IDN",1981,33
"Indonesia","IDN",1984,33
"Indonesia","IDN",1987,32
"Indonesia","IDN",1990,32
"Indonesia","IDN",1993,34
"Indonesia","IDN",1996,36.6
"Indonesia","IDN",1999,37.3
"Indonesia","IDN",2001,31
"Indonesia","IDN",2002,32.9
"Indonesia","IDN",2005,36.3
"Indonesia","IDN",2007,36.4
"Indonesia","IDN",2008,35
"Indonesia","IDN",2009,37
"Indonesia","IDN",2010,38
"Indonesia","IDN",2011,41
"Indonesia","IDN",2012,41
"Indonesia","IDN",2013,41.3
"Indonesia","IDN",2014,41
"Indonesia","IDN",2015,41
"Italy","ITA",1967,39.1
"Italy","ITA",1968,40.8
"Italy","ITA",1969,39.7
"Italy","ITA",1970,38.3
"Italy","ITA",1971,39.7
"Italy","ITA",1972,38.5
"Italy","ITA",1973,40
"Italy","ITA",1974,39.1
"Italy","ITA",1975,35.2
"Italy","ITA",1977,34.9
"Italy","ITA",1978,33.3
"Italy","ITA",1979,34.6
