"Neighborhood","Class","Units","YearBuilt","SqFt","IncomePerSqFt","ExpensePerSqFt","NetIncome","Value","ValuePerSqFt","Boro"
"FINANCIAL","R9-CONDOMINIUM",42,1920,36500,36.51,9.37,990610,7300000,200,"Manhattan"
"FINANCIAL","R4-CONDOMINIUM",78,1985,126420,52.47,13.94,4870962,30690000,242.76,"Manhattan"
"FINANCIAL","RR-CONDOMINIUM",500,NA,554174,31.24,6.39,13767000,90970000,164.15,"Manhattan"
"FINANCIAL","R4-CONDOMINIUM",282,1930,249076,47.28,11.18,8991643,67556006,271.23,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",239,1985,219495,45.58,12.68,7221385,54320996,247.48,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",133,1986,139719,36.7,10.72,3629899,26737996,191.37,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",109,1985,105000,41.58,12.13,3092250,22210281,211.53,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",107,1986,87479,41.58,12.13,2576257,19449002,222.33,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",247,1987,255845,43.96,9.54,8806185,66316999,259.21,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",121,1985,106129,38.78,11.6,2884587,21821999,205.62,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",154,1986,126008,41.58,12.13,3710936,28015990,222.34,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",546,1987,586224,41.58,12.13,17264297,130154990,222.02,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",182,1988,208281,38.78,11.6,5661077,42824998,205.61,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",293,1988,341489,39.8,12.62,9281671,70161999,205.46,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",117,2003,267723,45.58,12.68,8808086,62110366,231.99,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",234,2006,431824,41.78,12.27,12743127,89682996,207.68,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",304,1985,257848,45.58,12.68,8483199,63811996,247.48,"Manhattan"
"TRIBECA","R4-CONDOMINIUM",256,2006,434398,45.58,12.68,14291694,100582005,231.54,"Manhattan"
