"id"	"diary"	"previous"	"perform_type"	"memory"	"audience"	"pa"	"na"	"age"	"gender"	"instrument"	"years_study"	"mpqab"	"mpqsr"	"mpqpem"	"mpqnem"	"mpqcon"
1	1	0	"Solo"	"Unspecified"	"Instructor"	40	11	18	"Female"	"voice"	3	16	7	52	16	30
1	2	1	"Large Ensemble"	"Memory"	"Public Performance"	33	19	18	"Female"	"voice"	3	16	7	52	16	30
1	3	2	"Large Ensemble"	"Memory"	"Public Performance"	49	14	18	"Female"	"voice"	3	16	7	52	16	30
1	4	3	"Solo"	"Memory"	"Public Performance"	41	19	18	"Female"	"voice"	3	16	7	52	16	30
1	5	4	"Solo"	"Memory"	"Student(s)"	31	10	18	"Female"	"voice"	3	16	7	52	16	30
1	6	5	"Solo"	"Memory"	"Student(s)"	33	13	18	"Female"	"voice"	3	16	7	52	16	30
1	7	6	"Solo"	"Memory"	"Instructor"	34	11	18	"Female"	"voice"	3	16	7	52	16	30
1	8	7	"Solo"	"Memory"	"Juried Recital"	43	13	18	"Female"	"voice"	3	16	7	52	16	30
1	9	8	"Solo"	"Score"	"Instructor"	34	10	18	"Female"	"voice"	3	16	7	52	16	30
1	10	9	"Solo"	"Score"	"Student(s)"	45	10	18	"Female"	"voice"	3	16	7	52	16	30
1	11	10	"Solo"	"Score"	"Instructor"	36	10	18	"Female"	"voice"	3	16	7	52	16	30
1	12	11	"Solo"	"Memory"	"Instructor"	39	10	18	"Female"	"voice"	3	16	7	52	16	30
1	13	12	"Solo"	"Memory"	"Juried Recital"	44	10	18	"Female"	"voice"	3	16	7	52	16	30
2	1	0	"Solo"	"Memory"	"Student(s)"	26	19	18	"Female"	"voice"	4	25	10	28	21	39
2	2	1	"Large Ensemble"	"Memory"	"Public Performance"	28	17	18	"Female"	"voice"	4	25	10	28	21	39
2	3	2	"Solo"	"Unspecified"	"Instructor"	21	12	18	"Female"	"voice"	4	25	10	28	21	39
2	4	3	"Solo"	"Memory"	"Instructor"	24	13	18	"Female"	"voice"	4	25	10	28	21	39
2	5	4	"Solo"	"Memory"	"Juried Recital"	31	19	18	"Female"	"voice"	4	25	10	28	21	39
2	6	5	"Solo"	"Unspecified"	"Public Performance"	21	16	18	"Female"	"voice"	4	25	10	28	21	39
2	7	6	"Solo"	"Unspecified"	"Public Performance"	17	14	18	"Female"	"voice"	4	25	10	28	21	39
2	8	7	"Small Ensemble"	"Memory"	"Public Performance"	27	12	18	"Female"	"voice"	4	25	10	28	21	39
2	9	8	"Small Ensemble"	"Memory"	"Public Performance"	26	11	18	"Female"	"voice"	4	25	10	28	21	39
2	10	9	"Small Ensemble"	"Memory"	"Public Performance"	26	10	18	"Female"	"voice"	4	25	10	28	21	39
2	11	10	"Solo"	"Unspecified"	"Instructor"	30	12	18	"Female"	"voice"	4	25	10	28	21	39
2	12	11	"Solo"	"Score"	"Instructor"	34	13	18	"Female"	"voice"	4	25	10	28	21	39
2	13	12	"Solo"	"Unspecified"	"Instructor"	34	12	18	"Female"	"voice"	4	25	10	28	21	39
2	14	13	"Solo"	"Unspecified"	"Instructor"	24	13	18	"Female"	"voice"	4	25	10	28	21	39
3	1	0	"Small Ensemble"	"Score"	"Public Performance"	36	14	19	"Female"	"voice"	8	12	6	23	21	88
3	2	1	"Solo"	"Memory"	"Instructor"	39	10	19	"Female"	"voice"	8	12	6	23	21	88
3	3	2	"Solo"	"Memory"	"Juried Recital"	40	20	19	"Female"	"voice"	8	12	6	23	21	88
3	4	3	"Solo"	"Score"	"Instructor"	17	10	19	"Female"	"voice"	8	12	6	23	21	88
3	5	4	"Solo"	"Score"	"Instructor"	36	10	19	"Female"	"voice"	8	12	6	23	21	88
3	6	5	"Small Ensemble"	"Memory"	"Student(s)"	22	17	19	"Female"	"voice"	8	12	6	23	21	88
3	7	6	"Solo"	"Score"	"Instructor"	28	15	19	"Female"	"voice"	8	12	6	23	21	88
3	8	7	"Solo"	"Score"	"Instructor"	24	12	19	"Female"	"voice"	8	12	6	23	21	88
3	9	8	"Small Ensemble"	"Memory"	"Student(s)"	28	15	19	"Female"	"voice"	8	12	6	23	21	88
3	10	9	"Small Ensemble"	"Memory"	"Student(s)"	28	13	19	"Female"	"voice"	8	12	6	23	21	88
3	11	10	"Small Ensemble"	"Score"	"Public Performance"	34	16	19	"Female"	"voice"	8	12	6	23	21	88
3	12	11	"Small Ensemble"	"Score"	"Public Performance"	35	16	19	"Female"	"voice"	8	12	6	23	21	88
3	13	12	"Solo"	"Score"	"Instructor"	30	11	19	"Female"	"voice"	8	12	6	23	21	88
3	14	13	"Small Ensemble"	"Score"	"Public Performance"	33	13	19	"Female"	"voice"	8	12	6	23	21	88
3	15	14	"Large Ensemble"	"Memory"	"Public Performance"	35	12	19	"Female"	"voice"	8	12	6	23	21	88
5	1	0	"Solo"	"Unspecified"	"Instructor"	31	18	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	2	1	"Solo"	"Score"	"Instructor"	28	22	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	3	2	"Small Ensemble"	"Score"	"Student(s)"	33	14	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	4	3	"Small Ensemble"	"Score"	"Public Performance"	33	13	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	5	4	"Solo"	"Unspecified"	"Instructor"	25	14	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	6	5	"Solo"	"Score"	"Student(s)"	29	15	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	7	6	"Small Ensemble"	"Score"	"Student(s)"	25	15	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	8	7	"Small Ensemble"	"Score"	"Instructor"	37	16	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	9	8	"Solo"	"Score"	"Student(s)"	31	23	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	10	9	"Solo"	"Score"	"Public Performance"	32	20	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	11	10	"Large Ensemble"	"Score"	"Public Performance"	36	20	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
5	12	11	"Solo"	"Unspecified"	"Instructor"	28	26	19	"Female"	"orchestral instrument"	14	28	12	54	40	42
6	1	0	"Solo"	"Memory"	"Student(s)"	31	21	19	"Female"	"voice"	5	27	8	58	26	62
6	2	1	"Solo"	"Score"	"Public Performance"	36	12	19	"Female"	"voice"	5	27	8	58	26	62
6	3	2	"Large Ensemble"	"Memory"	"Public Performance"	47	15	19	"Female"	"voice"	5	27	8	58	26	62
6	4	3	"Large Ensemble"	"Memory"	"Public Performance"	42	11	19	"Female"	"voice"	5	27	8	58	26	62
6	5	4	"Large Ensemble"	"Memory"	"Public Performance"	47	10	19	"Female"	"voice"	5	27	8	58	26	62
6	6	5	"Large Ensemble"	"Memory"	"Public Performance"	49	11	19	"Female"	"voice"	5	27	8	58	26	62
6	7	6	"Solo"	"Memory"	"Juried Recital"	33	18	19	"Female"	"voice"	5	27	8	58	26	62
6	8	7	"Solo"	"Score"	"Public Performance"	42	11	19	"Female"	"voice"	5	27	8	58	26	62
6	9	8	"Solo"	"Score"	"Public Performance"	30	10	19	"Female"	"voice"	5	27	8	58	26	62
6	10	9	"Solo"	"Score"	"Public Performance"	41	12	19	"Female"	"voice"	5	27	8	58	26	62
6	11	10	"Solo"	"Score"	"Public Performance"	35	13	19	"Female"	"voice"	5	27	8	58	26	62
6	12	11	"Solo"	"Score"	"Public Performance"	32	15	19	"Female"	"voice"	5	27	8	58	26	62
6	13	12	"Solo"	"Score"	"Public Performance"	37	10	19	"Female"	"voice"	5	27	8	58	26	62
6	14	13	"Solo"	"Score"	"Public Performance"	35	11	19	"Female"	"voice"	5	27	8	58	26	62
6	15	14	"Solo"	"Score"	"Instructor"	38	10	19	"Female"	"voice"	5	27	8	58	26	62
7	1	0	"Solo"	"Score"	"Instructor"	13	20	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	2	1	"Large Ensemble"	"Score"	"Student(s)"	17	18	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	3	2	"Large Ensemble"	"Score"	"Public Performance"	15	26	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
